state_cluster_id,lag_cluster,id_no,state,id,year,total_distance,medoid_rank1,medoid_rank2,noswitch,switched,n_noswitch,n_switched,flag
1,,41,South Carolina,SC,2000,1.25,5,,1,0,51,0,0
1,,42,South Dakota,SD,2000,1.25,5,,1,0,51,0,0
1,,43,Tennessee,TN,2000,1.75,19.5,,1,0,51,0,0
1,,44,Texas,TX,2000,3.4722221,35,,1,0,51,0,0
1,,45,Utah,UT,2000,1.75,19.5,,1,0,51,0,0
1,,46,Vermont,VT,2000,1.8611112,23.5,,1,0,51,0,0
1,,47,Virginia,VA,2000,2.6388891,34,,1,0,51,0,0
2,,48,Washington,WA,2000,4.3999996,,15,1,0,51,0,0
1,,49,West Virginia,WV,2000,1.3611112,13.5,,1,0,51,0,0
1,,50,Wisconsin,WI,2000,3.75,36,,1,0,51,0,0
1,,51,Wyoming,WY,2000,2.25,29,,1,0,51,0,0
1,1,1,Alabama,AL,2001,1.9166667,19,,1,0,49,2,0
1,1,2,Alaska,AK,2001,1.4166667,5,,1,0,49,2,0
1,1,3,Arizona,AZ,2001,1.5833335,12.5,,1,0,49,2,0
1,1,4,Arkansas,AR,2001,2.1388891,24,,1,0,49,2,0
2,2,5,California,CA,2001,4.7999997,,15,1,0,49,2,0
1,1,6,Colorado,CO,2001,2.3055556,25,,1,0,49,2,0
2,2,7,Connecticut,CT,2001,3.1999998,,2,1,0,49,2,0
2,2,8,Delaware,DE,2001,3.5333333,,6,1,0,49,2,0
2,1,9,District of Columbia,DC,2001,4.5333338,,14,0,1,49,2,0
1,1,10,Florida,FL,2001,1.4166667,5,,1,0,49,2,0
1,1,11,Georgia,GA,2001,1.8611112,17,,1,0,49,2,0
1,2,12,Hawaii,HI,2001,3.5833333,34,,0,1,49,2,0
1,1,13,Idaho,ID,2001,2.8055553,32,,1,0,49,2,0
2,2,14,Illinois,IL,2001,4.2666664,,12.5,1,0,49,2,0
1,1,15,Indiana,IN,2001,2.6388888,29.5,,1,0,49,2,0
1,1,16,Iowa,IA,2001,1.5833335,12.5,,1,0,49,2,0
1,1,17,Kansas,KS,2001,1.5833335,12.5,,1,0,49,2,0
1,1,18,Kentucky,KY,2001,1.4166667,5,,1,0,49,2,0
1,1,19,Louisiana,LA,2001,1.4166667,5,,1,0,49,2,0
2,2,20,Maine,ME,2001,3.7999997,,8.5,1,0,49,2,0
2,2,21,Maryland,MD,2001,3.7333331,,7,1,0,49,2,0
2,2,22,Massachusetts,MA,2001,3.7999997,,8.5,1,0,49,2,0
1,1,23,Michigan,MI,2001,3.4166663,33,,1,0,49,2,0
2,2,24,Minnesota,MN,2001,3.2666664,,4,1,0,49,2,0
1,1,25,Mississippi,MS,2001,2.6388888,29.5,,1,0,49,2,0
1,1,26,Missouri,MO,2001,2.0277779,21,,1,0,49,2,0
1,1,27,Montana,MT,2001,1.4166667,5,,1,0,49,2,0
2,2,28,Nebraska,NE,2001,3.9333329,,10,1,0,49,2,0
1,1,29,Nevada,NV,2001,1.5833335,12.5,,1,0,49,2,0
1,1,30,New Hampshire,NH,2001,2.3055558,26,,1,0,49,2,0
2,2,31,New Jersey,NJ,2001,3.1999998,,2,1,0,49,2,0
1,1,32,New Mexico,NM,2001,2.0277779,21,,1,0,49,2,0
2,2,33,New York,NY,2001,3.3333333,,5,1,0,49,2,0
1,1,34,North Carolina,NC,2001,1.4166667,5,,1,0,49,2,0
1,1,35,North Dakota,ND,2001,1.4166667,5,,1,0,49,2,0
1,1,36,Ohio,OH,2001,2.0833335,23,,1,0,49,2,0
1,1,37,Oklahoma,OK,2001,1.5833335,12.5,,1,0,49,2,0
1,1,38,Oregon,OR,2001,2.5277779,28,,1,0,49,2,0
2,2,39,Pennsylvania,PA,2001,3.1999998,,2,1,0,49,2,0
2,2,40,Rhode Island,RI,2001,4.2666664,,12.5,1,0,49,2,0
1,1,41,South Carolina,SC,2001,1.4166667,5,,1,0,49,2,0
1,1,42,South Dakota,SD,2001,1.4166667,5,,1,0,49,2,0
